Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person3_color=black,Main Effect,0.009730366084339227,0.009669144690377288,0.009787918754020554,5.938703182163316e-05,Negative (Promotes 0),NEG,person3_color=black,-,0.04882931029312547
person3_color=white,Main Effect,0.00932159491789463,0.009261425721432286,0.00937762419363179,5.809923609975242e-05,Positive (Promotes 1),POS,person3_color=white,-,0.04677799855909614
person3_gender=female,Main Effect,0.007135641843051986,0.007083643605325518,0.007187728443813777,5.204241924412984e-05,Negative (Promotes 0),NEG,person3_gender=female,-,0.03580836185143966
person2_color=white,Main Effect,0.006884265204098011,0.0068293760787514635,0.006932471149340371,5.1547535294453606e-05,Positive (Promotes 1),POS,person2_color=white,-,0.03454689359859744
person2_color=black,Main Effect,0.006797482563342398,0.006742124806004693,0.006849718447115026,5.37968205551664e-05,Negative (Promotes 0),NEG,person2_color=black,-,0.034111397497342544
person3_gender=male,Main Effect,0.006409961574493205,0.006365110136823971,0.006456196368729197,4.554311595261328e-05,Positive (Promotes 1),POS,person3_gender=male,-,0.03216672425014877
person1_profession=low,Main Effect,0.005970859651072195,0.005938657491342973,0.0059999192443856535,3.0630876521340125e-05,Negative (Promotes 0),NEG,person1_profession=low,-,0.02996320550448292
person1_profession=high,Main Effect,0.005511573028633651,0.005481695266306542,0.0055382878866218465,2.8296310157652303e-05,Positive (Promotes 1),POS,person1_profession=high,-,0.027658395098980465
person2_color=white & person3_color=black,Interaction,0.004615190036879185,0.004547504576285956,0.0046777013140340265,6.509836887403503e-05,Interference (-),NEG,person2_color=white,person3_color=black,0.023160130299231026
person2_color=black & person3_color=white,Interaction,0.004593010602393011,0.004519919238919594,0.00465947449366639,6.977762737339806e-05,Interference (-),NEG,person2_color=black,person3_color=white,0.023048828578487498
person2_color=black & person3_color=black,Interaction,0.004470504727666998,0.004401633569814433,0.0045367056118167815,6.753602100117431e-05,Interference (-),NEG,person2_color=black,person3_color=black,0.022434064722957444
person2_color=white & person3_color=white,Interaction,0.004382392780745566,0.004314566407808499,0.004444797724068993,6.511565813024662e-05,Interference (-),NEG,person2_color=white,person3_color=white,0.021991897844603023
person1_gender=male,Main Effect,0.0037318821266171098,0.0037036548062186815,0.0037571681941943142,2.675669398781639e-05,Negative (Promotes 0),NEG,person1_gender=male,-,0.018727479393734484
person1_gender=female,Main Effect,0.0034911177515507276,0.00346641077670936,0.0035132175383876594,2.3403380839149678e-05,Positive (Promotes 1),POS,person1_gender=female,-,0.017519266025835784
person1_color=white,Main Effect,0.0031632659495988502,0.0031228817018030043,0.003201234693841728,3.917649601936179e-05,Positive (Promotes 1),POS,person1_color=white,-,0.01587402706679659
