Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person2_color=black & person3_color=black,Interaction,1.5315555,1.4953286737203597,1.5665444880723953,0.035607907176017806,Synergy (+),POS,person2_color=black,person3_color=black,0.056780033
person3_color=black,Main Effect,1.3330564,1.2913780719041825,1.3750061601400376,0.04181404411792755,Negative (Promotes 0),NEG,person3_color=black,-,0.04942099
person1_color=black & person3_color=black,Interaction,1.0006757,0.9715168580412865,1.0298848569393158,0.02918399944901462,Interference (-),NEG,person1_color=black,person3_color=black,0.03709849
person1_profession=high,Main Effect,0.9585963,0.9328737646341324,0.9848830372095108,0.026004636287689176,Positive (Promotes 1),POS,person1_profession=high,-,0.03553846
person3_gender=female,Main Effect,0.9155038,0.8898032814264297,0.9423209846019744,0.02625885158777236,Negative (Promotes 0),NEG,person3_gender=female,-,0.033940874
person2_gender=female & person3_gender=female,Interaction,0.7812118,0.7563904225826263,0.8059184372425079,0.024764007329940774,Interference (-),NEG,person2_gender=female,person3_gender=female,0.02896221
person2_color=black,Main Effect,0.780616,0.7486048817634583,0.8129249662160873,0.03216004222631452,Negative (Promotes 0),NEG,person2_color=black,-,0.02894012
person1_gender=female,Main Effect,0.6313268,0.613238862156868,0.6499370515346528,0.018349094688892398,Positive (Promotes 1),POS,person1_gender=female,-,0.023405457
person2_profession=high & person3_profession=high,Interaction,0.6150065,0.603070242702961,0.6283725336194038,0.012651145458221436,Synergy (+),POS,person2_profession=high,person3_profession=high,0.022800406
person1_color=black & person1_profession=high,Interaction,0.59066135,0.5737066641449928,0.6096239626407624,0.01795864924788476,Interference (-),NEG,person1_color=black,person1_profession=high,0.021897849
person1_gender=female & person2_gender=female,Interaction,0.5484457,0.5341610893607139,0.5627256959676742,0.014282303303480126,Synergy (+),POS,person1_gender=female,person2_gender=female,0.020332769
person1_color=black & person2_color=black,Interaction,0.54637986,0.5312226787209511,0.5610431805253029,0.014910250902175903,Synergy (+),POS,person1_color=black,person2_color=black,0.020256182
quantity_level=1vs5 & person3_gender=female,Interaction,0.49491552,0.47770787850022317,0.5118571132421493,0.01707461737096308,Interference (-),NEG,quantity_level=1vs5,person3_gender=female,0.01834822
person2_profession=high,Main Effect,0.48253995,0.4669692896306515,0.49828294962644576,0.015656829997897137,Positive (Promotes 1),POS,person2_profession=high,-,0.017889416
quantity_level=1vs1 & person2_color=black,Interaction,0.47829872,0.4567280702292919,0.4998327746987343,0.021552352234721184,Interference (-),NEG,quantity_level=1vs1,person2_color=black,0.017732179
person1_color=black,Main Effect,0.4301223,0.41818352714180945,0.44174676239490507,0.011781617626547808,Negative (Promotes 0),NEG,person1_color=black,-,0.015946113
person2_profession=high & person3_gender=female,Interaction,0.426395,0.4110639341175556,0.44142746850848197,0.015181767195463186,Interference (-),NEG,person2_profession=high,person3_gender=female,0.01580793
person2_gender=female,Main Effect,0.40702015,0.39503512606024743,0.41858603060245514,0.011775452271103853,Positive (Promotes 1),POS,person2_gender=female,-,0.015089638
